,LONGITUDE,LATITUDE,SCIENTIFICNAME,SITEVISITID,STARTDATE,ENDDATE,SITEID,SITECODE,LOCALITYDETAILS,LOCATIONPRECISION,PROJECTID,PROJECTNAME,ORGANISATIONID,ORGANISATIONNAME,ORGANISATIONACRONYM,year
1388,152.077813,-27.48779,Phascolarctos cinereus,1886161.0,20190209000000,20190209000000.0,1671142.0,INCIDENTAL,"Thomas Road, Upper Lockyer SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1390,151.54967,-27.00768,Phascolarctos cinereus,1886208.0,20190301000000,20190315000000.0,1671177.0,INCIDENTAL,"the Hunter property, ""Jindabyne"", Yamison SEQ",300.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1391,151.971445,-27.61845,Phascolarctos cinereus,1886243.0,20190326000000,20190326000000.0,1671200.0,INCIDENTAL,"Glen Lomond Park, Toowoomba SEQ",250.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1392,151.96938,-27.47511,Phascolarctos cinereus,1965368.0,20191015000000,20191015000000.0,1671143.0,INCIDENTAL,"The Hare property, Murphys Creek Road, Spring Bluff SEQ",300.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1393,151.688304,-27.304588,Phascolarctos cinereus,1965237.0,20191111000000,20191111000000.0,1722897.0,INCIDENTAL,"Beutel Park, Acland SEQ",50.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1394,151.922884,-27.382915,Phascolarctos cinereus,1965256.0,20191230000000,20191230000000.0,1722930.0,INCIDENTAL,"Cooby Creek, Groomsville SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1395,152.451688,-27.566141,Phascolarctos cinereus,1965220.0,20191202000000,20191202000000.0,1722890.0,INCIDENTAL,"Shell Rusty's, Plainland SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1399,150.8936944444,-24.6641111111,Phascolarctos cinereus,1978917.0,20190514000000,20190514000000.0,1732422.0,Grevillea SF 04,"Site 4, Grevillea State Forest, northwest of Monto, SEQ.",200.0,16939,QPWS threatened Antechinus species project,1,Queensland Parks and Wildlife Service,QPWS,2019
1401,151.932897,-27.604144,Phascolarctos cinereus,1927998.0,20190731000000,20190731000000.0,1710821.0,INCIDENTAL,"USQ Campus, Darling Heights, Toowoomba SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2019
1403,152.4268055555,-28.2258333333,Phascolarctos cinereus,1969754.0,20200109000000,20200109000000.0,935160.0,Gambubal Standard,"Gambubal, standard HRM site, Gambubal Section, Main Range National Park, SEQ.",350.0,7922,Harry Hines miscellaneous survey data,1,Queensland Parks and Wildlife Service,QPWS,2020
1406,148.23574,-25.060133,Phascolarctos cinereus,2009971.0,20201124000000,20201124000000.0,1740790.0,INCIDENTAL,"Carnarvon Gorge day use area, Carnarvon National Park SCQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
1409,151.58032,-27.361137,Phascolarctos cinereus,2031990.0,20200903000000,20200903000000.0,1759723.0,INCIDENTAL,"Warrego Highway, Jondaryan SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
1410,151.891891,-27.710759,Phascolarctos cinereus,2032068.0,20200912000000,20200912000000.0,1759767.0,INCIDENTAL,"nr. junction Cambooya Connection and Strand Roads, Cambooya SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
1411,152.139254,-27.572391,Phascolarctos cinereus,2032080.0,20200914000000,20200914000000.0,1759776.0,INCIDENTAL,"""Abberton"", Lockyer Creek Road, Helidon SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
1412,152.139254,-27.572391,Phascolarctos cinereus,2031371.0,20200514000000,20200514000000.0,1671035.0,INCIDENTAL,"""Abberton"", Lockyer Creek Road, Helidon SEQ",50.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
1413,151.576014,-27.823225,Phascolarctos cinereus,2032149.0,20200930000000,20200930000000.0,1759944.0,INCIDENTAL,"Tummaville Road, Kincora SEQ",100.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
1414,150.38849,-27.85068,Phascolarctos cinereus,2032321.0,20201105000000,20201105000000.0,1760220.0,INCIDENTAL,Booroondoo State Forest via Moonie SQ,20.0,8000,Rod Hobson's incidental records,1,Queensland Parks and Wildlife Service,QPWS,2020
